year,geoid,county_name,state_fips,county_fips,region,total_population,median_household_income,nonhispanic_white,nonhispanic_black,nonhispanic_native,nonhispanic_asian,hispanic_latino
2022,01001,"Autauga County, Alabama",01,001,South,58761,68315,42635,11496,59,636,1864
2022,01003,"Baldwin County, Alabama",01,003,South,233420,71039,192161,19318,512,2046,11210
2022,01005,"Barbour County, Alabama",01,005,South,24877,39712,11084,11662,63,126,1202
2022,01007,"Bibb County, Alabama",01,007,South,22251,50669,16520,4598,15,69,650
2022,01009,"Blount County, Alabama",01,009,South,59077,57440,50614,729,75,100,5721
2022,01011,"Bullock County, Alabama",01,011,South,10328,36136,2125,7117,0,43,907
2022,01013,"Butler County, Alabama",01,013,South,18981,44429,9655,8462,69,243,322
2022,01015,"Calhoun County, Alabama",01,015,South,116162,54339,81851,25204,174,708,4736
2022,01017,"Chambers County, Alabama",01,017,South,34612,48805,18794,14107,10,60,1129
2022,01019,"Cherokee County, Alabama",01,019,South,25069,46621,22749,1000,113,21,479
2022,01021,"Chilton County, Alabama",01,021,South,45140,62471,35714,4254,17,229,3664
2022,01023,"Choctaw County, Alabama",01,023,South,12669,43299,7162,5055,28,15,143
2022,01025,"Clarke County, Alabama",01,025,South,23058,47549,11809,10479,15,90,335
2022,01027,"Clay County, Alabama",01,027,South,14209,48074,11385,1790,0,36,437
2022,01029,"Cleburne County, Alabama",01,029,South,15144,51553,13964,411,22,15,401
2022,01031,"Coffee County, Alabama",01,031,South,53559,62199,36875,8598,277,563,4500
2022,01033,"Colbert County, Alabama",01,033,South,57270,56149,44485,9171,170,214,1837
2022,01035,"Conecuh County, Alabama",01,035,South,11576,39888,5751,5553,33,36,80
2022,01037,"Coosa County, Alabama",01,037,South,10329,52279,6632,3120,9,0,284
2022,01039,"Covington County, Alabama",01,039,South,37542,48772,30958,4606,101,218,749
2022,01041,"Crenshaw County, Alabama",01,041,South,13205,48557,9226,3026,10,154,335
2022,01043,"Cullman County, Alabama",01,043,South,88284,58119,80170,959,243,278,4056
2022,01045,"Dale County, Alabama",01,045,South,49455,52813,33286,10087,218,611,3467
2022,01047,"Dallas County, Alabama",01,047,South,38326,37180,10365,26311,208,240,430
2022,01049,"DeKalb County, Alabama",01,049,South,71680,47920,56705,1043,354,66,11021
2022,01051,"Elmore County, Alabama",01,051,South,87694,73258,63533,18224,210,602,2739
2022,01053,"Escambia County, Alabama",01,053,South,36755,41153,22117,11115,1118,90,940
2022,01055,"Etowah County, Alabama",01,055,South,103348,52177,79648,15507,127,743,4561
2022,01057,"Fayette County, Alabama",01,057,South,16297,45650,13666,2074,24,36,61
2022,01059,"Franklin County, Alabama",01,059,South,32011,47359,24088,1360,57,35,5892
2022,01061,"Geneva County, Alabama",01,061,South,26647,47608,21535,2377,61,143,1185
2022,01063,"Greene County, Alabama",01,063,South,7706,32796,1321,6305,7,0,24
2022,01065,"Hale County, Alabama",01,065,South,14742,35851,5663,8373,42,9,25
2022,01067,"Henry County, Alabama",01,067,South,17282,58395,12012,4344,60,96,469
2022,01069,"Houston County, Alabama",01,069,South,107040,55064,69420,29026,248,976,3844
2022,01071,"Jackson County, Alabama",01,071,South,52618,46748,46699,1708,397,213,1685
2022,01073,"Jefferson County, Alabama",01,073,South,672265,63595,328951,286423,570,11690,27950
2022,01075,"Lamar County, Alabama",01,075,South,13885,49565,11900,1527,49,23,76
2022,01077,"Lauderdale County, Alabama",01,077,South,94329,56081,78667,9197,213,574,2803
2022,01079,"Lawrence County, Alabama",01,079,South,33116,54786,25273,3366,1669,97,829
2022,01081,"Lee County, Alabama",01,081,South,175126,59288,117221,38635,224,7530,6780
2022,01083,"Limestone County, Alabama",01,083,South,104199,80146,77842,13547,438,1872,6588
2022,01085,"Lowndes County, Alabama",01,085,South,10153,33125,2493,7595,0,0,19
2022,01087,"Macon County, Alabama",01,087,South,19198,41206,3098,15130,7,73,453
2022,01089,"Madison County, Alabama",01,089,South,389781,78058,247345,94612,1699,9547,20611
2022,01091,"Marengo County, Alabama",01,091,South,19180,42975,8539,9749,36,151,542
2022,01093,"Marion County, Alabama",01,093,South,29203,49743,26508,1113,23,85,790
